EffectiveThreadNum,GenNum,Gen_Rate[1/us],Avg_Gen_Time[us],Tile_Rate[1/us],Avg_Tile_Time[us],Total_Time[us]
22,100,0.000271776,3679.5,0.00597907,1888.47,367950
23,100,0.000227105,4403.24,0.00522343,2251.71,440324
24,100,0.000205319,4870.47,0.00492766,2459.05,487047
25,100,0.000226976,4405.75,0.0056744,1991.68,440575
26,100,0.000197656,5059.29,0.00513906,2768.57,505929
27,100,0.000161593,6188.4,0.004363,2480.13,618840
28,100,0.000245476,4073.72,0.00687332,2192.74,407372
29,100,0.000146259,6837.19,0.00424151,3172.5,683719
30,100,0.000220069,4544.03,0.00660207,2456.2,454403
31,100,0.000244645,4087.55,0.00758401,1826.72,408755
32,100,0.000191699,5216.51,0.00613437,2476.01,521651
33,100,0.000204637,4886.71,0.00675301,2563.83,488671
34,100,0.00015486,6457.45,0.00526524,2783.11,645745
35,100,0.000183937,5436.65,0.00643779,3107.08,543665
36,100,0.000108591,9208.89,0.00390927,4743.72,920889
37,100,0.000193825,5159.28,0.00717154,3160.18,515928
38,100,0.000142046,7039.97,0.00539775,3560.49,703997
39,100,0.000196355,5092.81,0.00765785,2874.6,509281
40,100,0.000225909,4426.57,0.00903634,2589.82,442657
41,100,0.000173303,5770.25,0.00710541,2730.2,577025
42,100,0.000184552,5418.54,0.00775117,3143.7,541854
43,100,0.000163569,6113.63,0.00703346,2962.06,611363
44,100,0.000155032,6450.3,0.00682139,3173.23,645030
45,100,0.000183608,5446.38,0.00826237,3128.57,544638
46,100,0.000183176,5459.23,0.0084261,2788.05,545923
47,100,0.000153498,6514.76,0.00721439,3671.53,651476
48,100,0.000163089,6131.64,0.00782825,2956.77,613164
49,100,0.000130449,7665.86,0.00639198,3600.93,766586
50,100,0.00010383,9631.1,0.00519151,4484.69,963110
51,100,0.000145656,6865.49,0.00742846,3320.74,686549
52,100,0.000142285,7028.16,0.00739881,3378.8,702816
53,100,0.000146817,6811.2,0.0077813,3192.82,681120
54,100,0.000151744,6590.04,0.00819418,3395.86,659004
55,100,0.000169978,5883.11,0.0093488,2853.78,588311
56,100,0.000148366,6740.09,0.00830849,3085.51,674009
57,100,0.000131666,7594.95,0.00750499,3609.45,759495
58,100,0.000163386,6120.48,0.00947638,3241.27,612048
59,100,0.000157158,6363.04,0.0092723,3301.77,636304
60,100,0.000137754,7259.31,0.00826525,3679.05,725931
61,100,0.000207065,4829.39,0.012631,2611.53,482939
62,100,0.000135567,7376.41,0.00840517,3426.59,737641
63,100,0.000187716,5327.19,0.0118261,2561.82,532719
64,100,8.84121e-05,11310.7,0.00565837,5247.25,1.13107e+06
64,100,0.000166584,6002.98,0.0106614,3092.19,600298
64,100,0.00012294,8134.06,0.00786815,3819.77,813406
64,100,0.000139605,7163.08,0.0089347,3390.18,716308
64,100,0.00011701,8546.3,0.00748862,3847.54,854630
64,100,0.000136654,7317.75,0.00874586,3724.16,731775
64,100,0.000130732,7649.22,0.00836687,3838.03,764922
64,100,0.000189481,5277.58,0.0121268,2422.96,527758
64,100,0.000185013,5405.02,0.0118408,2909.48,540502
64,100,0.000134058,7459.47,0.0085797,3211.26,745947
64,100,0.000114659,8721.51,0.00733818,3840.84,872151
64,100,0.000126441,7908.81,0.00809224,3572.18,790881
64,100,0.000115527,8655.97,0.00739374,4349.37,865597
64,100,0.000117508,8510.09,0.00752048,4131.15,851009
64,100,0.000159487,6270.1,0.0102072,2981.38,627010
64,100,0.000190061,5261.46,0.0121639,2232.64,526146
64,100,0.000113946,8776.11,0.00729252,4362.21,877611
64,100,0.000134637,7427.36,0.00861679,3018.98,742736
64,100,0.000130006,7691.94,0.0083204,3922.02,769194
64,100,0.000192748,5188.13,0.0123359,2457.75,518813
64,100,0.000108423,9223.1,0.0069391,4461.63,922310
64,100,0.000133429,7494.62,0.00853946,3635.25,749462
64,100,0.00017554,5696.7,0.0112346,2629.38,569670
64,100,0.000143505,6968.38,0.00918434,3310.18,696838
64,100,0.000186615,5358.64,0.0119433,2526.84,535864
64,100,0.000176029,5680.87,0.0112659,2798.42,568087
64,100,0.000118,8474.61,0.00755197,3941.33,847461
64,100,0.00014478,6907.05,0.00926589,3256.15,690705
64,100,0.000186334,5366.72,0.0119253,2563.83,536672
64,100,0.000143198,6983.34,0.00916467,2901.69,698334
64,100,0.000122664,8152.38,0.00785047,3982.39,815238
64,100,0.000211288,4732.87,0.0135225,2662.15,473287
64,100,0.000125276,7982.36,0.00801768,3970.9,798236
64,100,0.000244569,4088.82,0.0156524,2029.39,408882
64,100,0.00021214,4713.86,0.013577,2362.1,471386
64,100,0.000116354,8594.49,0.00744663,4100.43,859449
64,100,0.000134779,7419.55,0.00862586,3613.63,741955
